participant_id	measurementday	weekday	month	year	filename	bodylocation	n_valid_hours	n_hours	l5hr_enmo_mg_0_24hr	l5_enmo_mg_0_24hr	m5hr_enmo_mg_0_24hr	m5_enmo_mg_0_24hr	l10hr_enmo_mg_0_24hr	l10_enmo_mg_0_24hr	m10hr_enmo_mg_0_24hr	m10_enmo_mg_0_24hr	mean_enmo_mg_1_6am	mean_enmo_mg_0_24hr	p95_83333_enmo_mg_0_24hr	p97_91667_enmo_mg_0_24hr	x0_50_enmo_mg_0_24hr	x50_100_enmo_mg_0_24hr	x100_150_enmo_mg_0_24hr	x150_200_enmo_mg_0_24hr	x200_250_enmo_mg_0_24hr	x250_300_enmo_mg_0_24hr	x300_350_enmo_mg_0_24hr	x350_400_enmo_mg_0_24hr	x400_8e_03_enmo_mg_0_24hr	mvpa_e5s_t125_enmo_0_24hr	mvpa_e1m_t125_enmo_0_24hr	mvpa_e5m_t125_enmo_0_24hr	mvpa_e5s_b1m80_percent_t125_enmo_0_24hr	mvpa_e5s_b5m80_percent_t125_enmo_0_24hr	mvpa_e5s_b10m80_percent_t125_enmo_0_24hr
sub-24702	12	Monday	Feb	2025	24702.bin	left wrist	24	24	28.333	4.992	18.5	85.176	25.167	7.545	15.167	77.712	10.189	43.506	193.704	239.206	1055	160.5	112	57.5	28.083	11.833	6	2.75	6.333	158.917	152	115	63.5	22.667	18.083
sub-24702	13	Tuesday	Feb	2025	24702.bin	left wrist	24	24	24.667	4.682	11.5	66.159	20	19.021	10.167	59.554	6.468	41.607	163.504	212.002	1059.083	207	98.333	40.583	18	7.667	3.667	3	2.667	113.583	83	40	30.5	0	0
sub-24702	14	Wednesday	Feb	2025	24702.bin	left wrist	24	24	29.333	5.667	12.833	33.106	26.167	7.38	12.667	30.59	9.163	17.475	95.4	138.21	1309.25	75.417	29.583	13.167	7.25	3	1.083	0.25	1	36.167	30	10	12.083	0	0
sub-24702	15	Thursday	Feb	2025	24702.bin	left wrist	24	24	26.5	3.397	15.167	88.89	22.5	10.674	12.667	73.999	3.723	42.041	201.404	243.402	1084.333	145.667	92.417	56.167	33.5	12.25	5.333	4.083	6.25	157.167	151	115	83	62.25	60.583
sub-24702	16	Friday	Feb	2025	24702.bin	left wrist	24	24	25	4.248	13	77.322	23	6.87	13	60.51	4.248	35.232	188.4	239.908	1166.833	111.333	68.083	41.583	25.75	11.833	6.583	2.583	5.417	122.333	114	105	72.167	34.333	19.333
sub-24702	17	Saturday	Feb	2025	24702.bin	left wrist	23.75	24	26.167	3.989	11.333	64.991	26	22.412	7.5	53.939	24.712	39.442	159.504	202.102	1086	169.417	112.833	41.25	13.083	7.167	3.833	2.083	4.333	117.333	88	50	33.417	0	0
sub-24702	18	Sunday	Feb	2025	24702.bin	left wrist	24	24	25.833	3.729	17.333	83.717	22.833	13.648	9.667	76.993	5.345	49.284	187.008	228.102	968.5	189.167	158.833	76	26.167	12.5	4.333	2.167	2.333	198.5	180	145	113.583	64.917	50.083
sub-24702	19	Monday	Feb	2025	24702.bin	left wrist	23.75	24	25	4.773	17.667	65.752	22.833	12.457	12.833	60.004	4.773	38.579	189.404	236.604	1120.833	137.833	84.333	44.667	28.583	10.75	6.917	2.083	4	132.583	117	80	61.167	27.083	32.333
sub-24702	20	Tuesday	Feb	2025	24702.bin	left wrist	24	24	24.167	5.327	15.5	115.481	20.167	18.161	11.167	86.43	5.704	55.313	222.1	279.408	957.583	198.083	123.5	78	41.25	17.917	8.25	5.333	10.083	212.917	205	190	111.917	61.083	45.833
sub-24702	21	Wednesday	Feb	2025	24702.bin	left wrist	23.75	23.75	25.333	4.568	19.5	90.876	24.833	10.681	14.667	70.21	4.85	43.393	181.304	225.027	1035.167	186.417	119.5	54.75	21.417	10.083	5.25	2.833	4.583	149.167	138	115	70.833	30.5	15.333
